generate_params:do_sample,generate_params:max_new_tokens,generate_params:temperature,model,sarcasm_model,sarcasm_prob_neutral:max,sarcasm_prob_neutral:mean,sarcasm_prob_neutral:min,sarcasm_prob_neutral:q1,sarcasm_prob_neutral:q2,sarcasm_prob_neutral:q3,sarcasm_prob_neutral:std,sarcasm_prob_orig:max,sarcasm_prob_orig:mean,sarcasm_prob_orig:min,sarcasm_prob_orig:q1,sarcasm_prob_orig:q2,sarcasm_prob_orig:q3,sarcasm_prob_orig:std,similarity:max,similarity:mean,similarity:min,similarity:q1,similarity:q2,similarity:q3,similarity:std,similarity_model
False,20,1.0,maxmarcon/gpt2-sarcasm-defuser,helinivan/english-sarcasm-detector,0.2328913807868957,0.0161851406097412,0.0029756426811218,0.0065764486789703,0.009607195854187,0.0149647593498229,0.0235714588535399,0.9518612027168274,0.110023406418887,0.0031538605690002,0.0089910924434661,0.022083044052124,0.091151475906372,0.1978114994599398,1.0,0.6542656855149702,0.2518211007118225,0.5274418592453003,0.6688193082809448,0.7873265445232391,0.1720743286675844,multi-qa-mpnet-base-dot-v1
False,50,1.0,maxmarcon/gpt2-sarcasm-defuser,helinivan/english-sarcasm-detector,0.3245831131935119,0.016161470943027,0.0029756426811218,0.0065452754497528,0.0094119310379028,0.0139366090297698,0.0257804026878763,0.9518612027168274,0.110023406418887,0.0031538605690002,0.0089910924434661,0.022083044052124,0.091151475906372,0.1978114994599398,1.0,0.6568884129476066,0.2869497537612915,0.5344727635383606,0.6697214245796204,0.7842254042625427,0.1712990878938143,multi-qa-mpnet-base-dot-v1
False,100,1.0,maxmarcon/gpt2-sarcasm-defuser,helinivan/english-sarcasm-detector,0.3245831131935119,0.0162501368859801,0.0029756426811218,0.0065452754497528,0.0094119310379028,0.0139366090297698,0.0260672350559282,0.9518612027168274,0.110023406418887,0.0031538605690002,0.0089910924434661,0.022083044052124,0.091151475906372,0.1978114994599398,1.0,0.6568384253015422,0.2869497537612915,0.5344727635383606,0.6697214245796204,0.7842254042625427,0.171345409101205,multi-qa-mpnet-base-dot-v1
True,50,1.0,maxmarcon/gpt2-sarcasm-defuser,helinivan/english-sarcasm-detector,0.4172882437705993,0.0233829947433086,0.003639280796051,0.0068549215793609,0.0102081298828125,0.0187851786613464,0.0469090104442128,0.9518612027168274,0.110023406418887,0.0031538605690002,0.0089910924434661,0.022083044052124,0.091151475906372,0.1978114994599398,1.0,0.570633092718293,0.1173228994011879,0.4627669155597687,0.5596153736114502,0.6843495965003967,0.1575819915734438,multi-qa-mpnet-base-dot-v1
True,50,0.5,maxmarcon/gpt2-sarcasm-defuser,helinivan/english-sarcasm-detector,0.568844199180603,0.017544420560201,0.0030129551887512,0.0068865418434143,0.0092573761940002,0.0145006775856018,0.0377005917348254,0.9518612027168274,0.110023406418887,0.0031538605690002,0.0089910924434661,0.022083044052124,0.091151475906372,0.1978114994599398,1.0,0.6358113196161058,0.1631500720977783,0.5133293569087982,0.6415138840675354,0.7617131471633911,0.1681002776726006,multi-qa-mpnet-base-dot-v1
True,50,1.5,maxmarcon/gpt2-sarcasm-defuser,helinivan/english-sarcasm-detector,0.7979445457458496,0.0302211797598636,0.0033375024795532,0.0069609880447387,0.0104315876960754,0.0212225914001464,0.0709936277855567,0.9518612027168274,0.110023406418887,0.0031538605690002,0.0089910924434661,0.022083044052124,0.091151475906372,0.1978114994599398,0.9130617380142212,0.4912839127610428,0.1323267668485641,0.3875265568494797,0.492481529712677,0.578532487154007,0.1450137238884744,multi-qa-mpnet-base-dot-v1
True,20,1.0,maxmarcon/gpt2-sarcasm-defuser,helinivan/english-sarcasm-detector,0.8370432257652283,0.020351036750909,0.00358647108078,0.0070147812366485,0.0102946162223815,0.0184220373630523,0.0439737684752246,0.9518612027168274,0.110023406418887,0.0031538605690002,0.0089910924434661,0.022083044052124,0.091151475906372,0.1978114994599398,1.0,0.5680759247505304,0.202536478638649,0.4482259750366211,0.5608072280883789,0.676018476486206,0.1554282598897005,multi-qa-mpnet-base-dot-v1
True,20,0.5,maxmarcon/gpt2-sarcasm-defuser,helinivan/english-sarcasm-detector,0.4257354736328125,0.0186684249627469,0.0032383799552917,0.0068641304969787,0.0097274184226989,0.0154412388801574,0.0380275557787973,0.9518612027168274,0.110023406418887,0.0031538605690002,0.0089910924434661,0.022083044052124,0.091151475906372,0.1978114994599398,1.0000001192092896,0.6364105876648065,0.2671509683132171,0.5123367607593536,0.6374465227127075,0.7571660876274109,0.1649895745040196,multi-qa-mpnet-base-dot-v1
True,100,1.5,maxmarcon/gpt2-sarcasm-defuser,helinivan/english-sarcasm-detector,0.8059870600700378,0.0305068685550882,0.00310480594635,0.0065220594406127,0.009434163570404,0.0208478569984436,0.0823972748478672,0.9518612027168274,0.110023406418887,0.0031538605690002,0.0089910924434661,0.022083044052124,0.091151475906372,0.1978114994599398,0.9063835144042968,0.4905489937374086,-0.0387373492121696,0.3910759389400482,0.4927113056182861,0.5924655199050903,0.14396961153151,multi-qa-mpnet-base-dot-v1
True,100,1.0,maxmarcon/gpt2-sarcasm-defuser,helinivan/english-sarcasm-detector,0.4649418592453003,0.0223628177787318,0.0035538077354431,0.0065078437328338,0.0094631314277648,0.0177999138832092,0.0415527462475146,0.9518612027168274,0.110023406418887,0.0031538605690002,0.0089910924434661,0.022083044052124,0.091151475906372,0.1978114994599398,1.0,0.5563249138569591,0.1464924365282058,0.4291093200445175,0.5607000589370728,0.6655382215976715,0.1610175502164433,multi-qa-mpnet-base-dot-v1
