model,sarcasm_model,sarcasm_prob_neutral:max,sarcasm_prob_neutral:mean,sarcasm_prob_neutral:min,sarcasm_prob_neutral:q1,sarcasm_prob_neutral:q2,sarcasm_prob_neutral:q3,sarcasm_prob_neutral:std,sarcasm_prob_orig:max,sarcasm_prob_orig:mean,sarcasm_prob_orig:min,sarcasm_prob_orig:q1,sarcasm_prob_orig:q2,sarcasm_prob_orig:q3,sarcasm_prob_orig:std,similarity:max,similarity:mean,similarity:min,similarity:q1,similarity:q2,similarity:q3,similarity:std,similarity_model
baseline,helinivan/english-sarcasm-detector,0.9258105158805847,0.027970976551338067,0.0029697418212890625,0.006703004240989685,0.009875774383544922,0.019288450479507446,0.0673038058417014,0.9854786396026611,0.11312273302845818,0.0028168559074401855,0.009466245770454407,0.02310478687286377,0.09999942779541016,0.1976022673683346,1.0000001192092896,0.5466968107063209,-0.0468611940741539,0.37777212262153625,0.5638704299926758,0.7286117374897003,0.2271271851710314,paraphrase-multilingual-mpnet-base-v2
baseline,helinivan/multilingual-sarcasm-detector,0.988024890422821,0.02880546631519314,0.006277859210968018,0.006987214088439941,0.007623523473739624,0.009894296526908875,0.10088986967013698,0.98853600025177,0.07514156111710363,0.0061768293380737305,0.007157862186431885,0.008583247661590576,0.02601286768913269,0.1779992213576167,1.0000001192092896,0.5084308894070451,-0.08131732046604156,0.31677891314029694,0.5254546999931335,0.706165611743927,0.24090755704046543,all-mpnet-base-v2
baseline,pn89348/sarcasm_model,0.9871333837509155,0.015647319031597898,0.0020149946212768555,0.003880441188812256,0.005483806133270264,0.009156882762908936,0.06345679422731149,0.9956386685371399,0.10414824246181001,0.0021901726722717285,0.005606859922409058,0.010388761758804321,0.03687286376953125,0.23899094539051577,1.000000238418579,0.5031807495489643,-0.15756264328956604,0.3156778812408447,0.5197068452835083,0.6995974481105804,0.24873111905485545,multi-qa-MiniLM-L6-cos-v1
baseline,pn89348/sarcasm_model,0.9871333837509155,0.015647319031597898,0.0020149946212768555,0.003880441188812256,0.005483806133270264,0.009156882762908936,0.06345679422731149,0.9956386685371399,0.10414824246181001,0.0021901726722717285,0.005606859922409058,0.010388761758804321,0.03687286376953125,0.23899094539051577,1.0000001192092896,0.49776088194620105,-0.0883883461356163,0.30036628246307373,0.5061474740505219,0.7000901401042938,0.24438739678856264,all-MiniLM-L12-v2
baseline,pn89348/sarcasm_model,0.9871333837509155,0.015647319031597898,0.0020149946212768555,0.003880441188812256,0.005483806133270264,0.009156882762908936,0.06345679422731149,0.9956386685371399,0.10414824246181001,0.0021901726722717285,0.005606859922409058,0.010388761758804321,0.03687286376953125,0.23899094539051577,1.0000001192092896,0.49671682542473244,-0.1403132975101471,0.3082554414868355,0.5111615657806396,0.6959446668624878,0.24462469662718897,multi-qa-distilbert-cos-v1
baseline,pn89348/sarcasm_model,0.9871333837509155,0.015647319031597898,0.0020149946212768555,0.003880441188812256,0.005483806133270264,0.009156882762908936,0.06345679422731149,0.9956386685371399,0.10414824246181001,0.0021901726722717285,0.005606859922409058,0.010388761758804321,0.03687286376953125,0.23899094539051577,1.000000238418579,0.49224131669717874,-0.14617761969566345,0.299907423555851,0.5088895857334137,0.6880393475294113,0.2405570023140061,all-distilroberta-v1
baseline,pn89348/sarcasm_model,0.9871333837509155,0.015647319031597898,0.0020149946212768555,0.003880441188812256,0.005483806133270264,0.009156882762908936,0.06345679422731149,0.9956386685371399,0.10414824246181001,0.0021901726722717285,0.005606859922409058,0.010388761758804321,0.03687286376953125,0.23899094539051577,1.0000001192092896,0.48818189319618477,-0.08365482091903687,0.28771090507507324,0.49677126109600067,0.6879511028528214,0.24540060370653136,all-MiniLM-L6-v2
baseline,pn89348/sarcasm_model,0.9871333837509155,0.015647319031597898,0.0020149946212768555,0.003880441188812256,0.005483806133270264,0.009156882762908936,0.06345679422731149,0.9956386685371399,0.10414824246181001,0.0021901726722717285,0.005606859922409058,0.010388761758804321,0.03687286376953125,0.23899094539051577,1.0,0.45421194563786876,-0.13774502277374268,0.28090228140354156,0.45552271604537964,0.6301774978637695,0.22727468369249645,paraphrase-albert-small-v2
baseline,pn89348/sarcasm_model,0.9871333837509155,0.015647319031597898,0.0020149946212768555,0.003880441188812256,0.005483806133270264,0.009156882762908936,0.06345679422731149,0.9956386685371399,0.10414824246181001,0.0021901726722717285,0.005606859922409058,0.010388761758804321,0.03687286376953125,0.23899094539051577,1.0,0.4478094366286117,-0.16809828579425812,0.262546069920063,0.44623081386089325,0.6339394897222519,0.24001504660360798,paraphrase-MiniLM-L3-v2
baseline,pn89348/sarcasm_model,0.9871333837509155,0.015647319031597898,0.0020149946212768555,0.003880441188812256,0.005483806133270264,0.009156882762908936,0.06345679422731149,0.9956386685371399,0.10414824246181001,0.0021901726722717285,0.005606859922409058,0.010388761758804321,0.03687286376953125,0.23899094539051577,1.0,0.6299566251004665,0.11808541417121887,0.5056166052818298,0.6453164517879486,0.7703256607055664,0.17952188565099503,multi-qa-mpnet-base-dot-v1
